threshold_time_ms,open,close,high,low,mean
2021-06-01,37260.955,36695.175,37891.405,35690.065,36576.35264594897
2021-06-02,36695.175,37580.615000000005,38221.994999999995,35923.075,37276.49559880274
2021-06-03,37569.005000000005,39220.335,39475.295,37175.005000000005,38523.01906468137
2021-06-04,39244.195,36830.805,39279.994999999995,35569.215,37074.76517475835
2021-06-05,36832.295,35510.205,37899.994999999995,34821.380000000005,36579.72184341739
2021-06-06,35509.175,35801.505000000005,36461.305,35229.235,35949.14918652415
2021-06-07,35800.535,33571.035,36804.145000000004,33318.9,35867.10684531031
2021-06-08,33551.255000000005,33368.005000000005,34059.994999999995,31001.55,32860.77891277289
2021-06-09,33382.085,37372.905,37523.985,32402.335,34848.542571092396
2021-06-10,37394.125,36668.475000000006,38451.685,35801.005000000005,36984.01126222772
2021-06-11,36685.625,37326.145000000004,37672.06,35944.215,36989.0519871353
2021-06-12,37327.085,35518.035,37455.715,34617.675,35707.67365220933
2021-06-13,35547.435,39018.595,39358.645000000004,34767.915,36378.43852493139
2021-06-14,39022.67,40507.165,40999.994999999995,38733.705,39661.36874677002
2021-06-15,40513.455,40156.255000000005,41322.085,39526.66499999999,40204.9924214687
2021-06-16,40145.774999999994,38341.695,40491.015,38111.005000000005,39408.84149875766
2021-06-17,38347.815,38068.285,39548.085,37370.024999999994,38602.41891976184
2021-06-18,38092.845,35806.365000000005,38208.315,35127.805,36984.26584594502
2021-06-19,35814.755000000005,35505.395000000004,36453.555,34813.215,35743.64123380195
2021-06-20,35488.035,35582.585,36129.175,33336.425,35064.925992094904
2021-06-21,35599.975000000006,31634.739999999998,35747.994999999995,31263.295,33138.624089077966
2021-06-22,31611.225,32489.885000000002,33290.145000000004,28817.32,31994.44096794078
2021-06-23,32514.995000000003,33655.685,34817.015,31711.004999999997,33734.740041433586
2021-06-24,33677.085,34660.345,35287.085,32309.215,33748.80501027811
2021-06-25,34662.415,31599.985,35499.994999999995,31288.004999999997,33371.07718569304
2021-06-26,31583.915,32281.434999999998,32719.065000000002,30151.095,31476.00236561638
2021-06-27,32284.715,34662.315,34743.235,31996.465,33044.26065017827
2021-06-28,34707.055,34483.685,35289.994999999995,33874.255000000005,34463.428361460516
2021-06-29,34494.965,35906.36,36598.52,34230.625,35545.47837937764
2021-06-30,35907.685,35021.815,36096.955,34044.854999999996,34918.01870132314
2021-07-01,35043.485,33533.665,35051.595,32714.395,33720.19889537304
2021-07-02,33514.235,33783.395000000004,33975.015,32700.004999999997,33284.39217194597
2021-07-03,33785.104999999996,34670.405,34954.81,33314.005000000005,34295.643619640796
2021-07-04,34668.655,35295.915,35959.585,34360.685,35273.104626712055
2021-07-05,35283.315,33687.17999999999,35285.33500000001,33136.545,34087.88602746075
2021-07-06,33691.725000000006,34226.705,35099.985,33531.854999999996,34149.976890717095
2021-07-07,34220.785,33862.925,35049.994999999995,33779.994999999995,34547.09652396368
2021-07-08,33860.045,32863.104999999996,33926.405,32103.445,32890.37098322554
2021-07-09,32868.315,33815.555,34099.994999999995,32271.114999999998,33168.66869184243
2021-07-10,33823.215,33520.285,34259.215,33036.884999999995,33700.87781423129
2021-07-11,33509.915,34248.905,34609.244999999995,33315.945,33792.786093046496
2021-07-12,34271.215,33107.854999999996,34666.225000000006,32660.864999999998,33691.518769788345
2021-07-13,33087.505000000005,32729.225,33332.994999999995,32206.895,32846.29646618395
2021-07-14,32728.975,32816.915,33106.185,31600.004999999997,32481.20179882259
2021-07-15,32815.854999999996,31856.105,33186.115000000005,31146.925,32097.200293779973
2021-07-16,31883.195,31379.425,32239.715,31026.86,31746.953060104697
2021-07-17,31377.585,31510.175,31957.855,31165.175,31549.49271740203
2021-07-18,31515.295,31776.055,32442.535,31100.004999999997,31760.653070512748
2021-07-19,31775.725,30833.945,31898.695,30429.085,31177.066788690892
2021-07-20,30838.525,29775.835,31059.114999999998,29280.735,29830.86255739112
2021-07-21,29792.945,32129.27,32805.524999999994,29498.525,31184.76577073038
2021-07-22,32143.375,32295.055,32586.545,31723.77,32124.613296221498
2021-07-23,32288.715,33577.545,33613.705,31996.785,32476.471167734333
2021-07-28,39461.975000000006,39989.465,40877.065,38789.815,39851.079081681695
2021-08-04,38202.925,39740.165,39965.505000000005,37502.72,38716.18981464002
2021-08-06,40864.965,42839.875,43375.435,39869.354999999996,41343.29100873638
2021-08-07,42833.895000000004,44570.445,44705.975000000006,42447.05,43527.87877184148
2021-08-08,44584.165,43825.695,45308.465,43267.515,44312.04370906692
2021-08-09,43794.104999999996,46278.055,46457.134999999995,42780.005000000005,44873.768379453846
2021-08-10,46250.005000000005,45575.905,46708.755000000005,44642.854999999996,45578.57222022862
2021-08-11,45580.735,45557.965,46739.345,45346.384999999995,46067.410839026816
2021-08-12,45514.035,44420.125,46215.015,43776.524999999994,44910.6927234337
2021-08-13,44407.005000000005,47799.065,47892.455,44226.655,46184.004612431825
2021-08-14,47805.595,47072.975000000006,48144.285,46000.005000000005,47083.00789352844
2021-08-15,47077.585,46984.505000000005,47370.365,45491.695,46407.55338386646
2021-08-16,46986.805,45922.97,48041.955,45658.625,46902.86446908392
2021-08-17,45901.005000000005,44665.005000000005,47168.015,44418.835,45958.503712072976
2021-08-18,44682.615000000005,44722.405,46020.744999999995,44215.215,45129.34254146573
2021-08-19,44714.375,46756.175,47049.175,43947.345,45212.23676122493
2021-08-20,46761.765,49304.715,49383.965,46635.935,47763.582904261915
2021-08-21,49332.415,48822.415,49776.994999999995,48230.845,49008.95085716768
2021-08-22,48828.305,49253.205,49499.994999999995,48043.82,48861.11294770027
2021-08-23,49244.375,49521.585,50499.985,49029.265,49858.35168290438
2021-08-24,49482.005000000005,47711.435,49861.994999999995,47600.005000000005,48892.076093944466
2021-08-25,47674.185,48987.994999999995,49259.994999999995,47128.005000000005,48251.9086680703
2021-08-26,48978.005000000005,46847.634999999995,49348.675,46288.005000000005,47337.604937028074
2021-08-27,46841.095,49061.125,49146.494999999995,46346.384999999995,47720.353858052935
2021-08-28,49061.425,48886.185,49279.994999999995,48335.475000000006,48867.72492581465
2021-08-29,48898.655,48774.545,49632.354999999996,47757.045,48627.6942423865
2021-08-30,48765.645000000004,46985.365000000005,48875.005000000005,46850.005000000005,48058.89439348299
2021-08-31,46965.865000000005,47126.035,48248.555,46700.005000000005,47291.00907533188
2021-09-01,47100.435,48816.015,49090.905,46510.825,47668.01881646362
2021-09-02,48819.825,49265.825,50340.825,48596.655,49639.02325143211
2021-09-03,49248.265,49989.505000000005,50999.994999999995,48326.785,49888.17248947136
2021-09-04,49999.985,49902.535,50534.875,49371.805,50045.12141912963
2021-09-05,49916.375,51766.865000000005,51869.994999999995,49450.005000000005,50328.99887478932
2021-09-06,51766.865000000005,52663.095,52785.634999999995,51000.005000000005,51758.478200547615
2021-09-07,52663.095,46796.145000000004,52923.225000000006,42844.7,49935.46385815455
2021-09-08,46853.975000000006,46067.005000000005,47339.005000000005,44417.625,46279.24642514654
2021-09-09,46047.955,46379.165,47381.175,45530.615000000005,46408.77419996988
2021-09-10,46391.185,44841.685,47029.785,44143.765,45919.90031746262
2021-09-11,44851.145000000004,45168.975000000006,45979.994999999995,44731.205,45366.37045279829
2021-09-12,45170.535,46059.925,46445.755000000005,44740.744999999995,45628.00995506789
2021-09-13,46029.575,44939.835,46849.205,43385.244999999995,44786.65254921545
2021-09-14,44943.665,47069.515,47247.665,44665.065,46033.24607517264
2021-09-15,47096.795,48126.595,48449.195,46686.735,47562.38286477466
2021-09-16,48127.545,47742.915,48495.365000000005,47035.175,47884.777725098174
2021-09-17,47742.925,47275.615000000005,48149.994999999995,46760.715,47566.25111547423
2021-09-18,47296.445,48282.384999999995,48817.854999999996,47041.835,48225.716177359565
2021-09-19,48291.835,47232.965,48368.645000000004,46834.884999999995,47717.87736566315
2021-09-20,47250.895000000004,43015.405,47345.765,42481.575,44626.00534540788
2021-09-21,43015.405,40675.915,43637.255000000005,39588.955,42447.982078164634
2021-09-22,40724.325,43555.095,44002.425,40566.585,42552.497374239705
2021-09-23,43548.125,44863.045,44980.005000000005,43072.185,44068.14615006549
2021-09-24,44854.055,42804.005000000005,45150.25,40671.44,43101.54958087097
